Date,VN30F1M,ACB,BCM,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,MBB,MSN,MWG,NVL,PDR,PLX,POW,SAB,SSI,STB,TCB,TPB,VCB,VHM,VIB,VIC,VJC,VNM,VPB,VRE
2022-12-26,986.4,15.51,75.79,28.46,43.4,23.31,55.67,75.09,12.99,10.73,15.55,12.12,91.5,41.86,14.05,10.98,28.56,10.3,77.7,12.81,21.9,12.46,11.02,44.69,47.0,11.54,52.9,108.9,69.12,15.57,24.55
2022-12-27,1001.0,15.51,77.64,29.34,44.36,23.8,55.74,75.46,13.87,10.8,16.59,12.45,91.6,43.04,14.4,11.38,28.94,10.65,77.02,13.67,22.5,12.75,11.05,44.8,47.5,11.95,53.4,108.0,69.66,16.2,25.8
2022-12-28,1008.0,15.44,77.64,30.73,44.55,24.3,55.89,75.39,13.82,10.7,16.55,12.59,93.0,42.26,14.35,12.15,29.79,10.65,79.27,13.63,22.9,12.68,11.23,45.31,47.7,11.95,53.5,110.5,70.03,16.43,26.9
2022-12-29,993.0,15.44,76.96,29.34,44.36,24.16,55.53,75.09,13.43,10.5,16.36,12.56,94.0,42.16,14.65,12.11,29.65,10.5,77.65,13.22,22.35,12.58,11.23,45.71,47.8,11.88,53.6,109.2,70.03,16.11,26.5
2022-12-30,1004.5,15.37,78.32,28.31,44.45,24.39,56.04,74.29,13.43,10.53,16.36,12.34,93.0,42.16,14.0,12.29,29.98,10.65,74.96,13.29,22.5,12.53,11.05,45.31,48.0,11.95,53.8,109.5,69.21,16.2,26.3
2023-01-03,1045.5,15.93,81.62,30.22,45.5,25.06,58.29,76.85,14.21,10.9,17.5,12.99,96.0,43.19,14.65,13.15,31.16,11.05,75.9,14.2,23.5,13.31,11.5,46.78,49.4,12.51,56.8,111.7,71.39,16.74,28.1
2023-01-04,1042.7,15.89,81.62,29.92,45.5,25.51,58.29,76.85,14.45,10.8,17.64,12.95,99.3,42.75,14.0,13.55,33.34,11.0,77.02,14.27,23.3,13.24,11.55,46.9,49.0,12.51,56.0,110.4,72.12,17.1,28.6
2023-01-05,1053.8,16.03,81.43,29.89,45.84,25.51,58.73,78.02,14.5,10.83,18.0,13.13,99.5,42.84,13.7,13.69,33.86,11.75,78.23,14.5,24.2,13.41,11.84,47.58,49.7,12.64,56.2,110.0,73.85,17.15,29.2
2023-01-06,1051.0,16.24,80.56,30.55,45.84,25.59,58.51,76.63,14.02,10.86,17.64,13.17,95.8,42.4,13.6,13.33,33.19,11.75,81.15,14.2,24.3,13.43,11.81,47.58,49.9,12.95,56.1,107.8,72.57,17.15,29.25
2023-01-09,1053.6,16.21,79.97,30.07,45.69,26.04,58.51,76.48,14.02,11.06,17.82,13.17,96.5,41.27,13.85,12.87,33.57,11.6,80.66,14.27,24.65,13.46,11.81,49.22,50.2,13.3,55.0,109.2,73.39,17.06,29.4
2023-01-10,1056.6,16.45,79.68,30.29,45.79,25.55,58.59,76.56,14.02,11.06,18.0,13.13,95.4,41.47,13.95,12.87,34.85,11.7,79.09,14.2,24.95,13.31,11.81,49.45,49.75,13.3,54.5,109.1,73.66,16.92,29.4
2023-01-11,1062.7,16.98,79.68,30.25,46.36,26.04,58.95,76.26,14.11,11.03,18.36,13.17,96.0,41.81,14.9,13.37,35.23,11.65,81.29,14.5,24.7,13.41,11.79,48.2,50.8,13.33,55.1,110.1,72.21,16.7,28.5
