Date,VN30F1M,ACB,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,KDH,MBB,MSN,MWG,NVL,PDR,PLX,POW,SAB,SSI,STB,TCB,TPB,VCB,VHM,VIB,VIC,VJC,VNM,VPB,VRE
2022-08-17,1309.0,17.51,29.34,50.82,26.04,63.6,82.27,23.27,14.13,22.09,32.48,16.69,111.3,63.87,84.4,52.58,38.69,13.95,83.45,18.44,25.4,19.06,15.07,46.16,61.3,16.44,67.3,123.5,64.87,18.19,29.5
2022-08-18,1304.8,17.65,29.04,50.55,25.73,63.6,83.22,23.08,14.16,21.95,32.48,16.63,112.0,63.38,83.1,52.76,38.46,13.8,85.66,18.85,25.2,18.96,15.07,46.16,61.1,16.35,68.1,124.0,65.58,18.13,29.6
2022-08-19,1281.0,17.44,28.86,49.92,25.28,62.59,84.61,22.94,13.87,21.59,31.98,16.6,112.0,62.99,82.3,52.04,38.74,13.6,86.32,18.89,25.1,18.91,14.91,45.82,60.1,16.16,67.9,124.0,66.21,18.85,29.3
2022-08-22,1271.0,17.3,28.2,51.0,25.06,62.52,84.1,22.42,13.44,21.23,31.16,16.67,111.8,65.35,81.8,50.68,38.42,13.65,85.88,18.55,24.7,18.77,14.65,45.31,59.4,15.72,66.0,123.9,65.85,18.85,29.05
2022-08-23,1283.1,17.4,28.97,50.82,25.06,62.67,85.63,22.7,13.58,21.5,31.16,16.74,112.6,65.74,82.0,51.14,39.91,13.9,84.11,19.08,25.0,18.81,14.7,45.42,59.5,15.84,65.0,123.5,67.72,18.82,28.85
2022-08-24,1285.2,17.44,28.82,50.91,25.24,62.81,85.85,22.89,13.68,21.36,31.2,16.81,111.9,65.64,82.9,50.95,39.73,14.05,82.78,18.97,25.4,19.03,14.75,46.44,59.7,15.78,64.9,123.5,69.42,18.95,28.6
2022-08-25,1303.0,17.54,28.82,51.0,25.68,62.89,85.27,24.13,13.97,21.68,31.57,17.07,112.8,67.22,83.6,51.23,39.82,14.1,83.0,19.15,25.65,19.18,15.12,46.44,61.0,16.16,65.9,123.4,69.6,19.28,29.2
2022-08-26,1293.0,17.4,28.9,51.0,25.46,63.54,84.32,24.08,13.89,21.36,31.69,17.03,112.2,70.95,83.3,50.86,39.46,14.25,83.23,18.63,25.1,19.15,14.91,46.73,60.3,15.97,65.0,123.0,68.71,19.07,28.85
2022-08-29,1286.0,17.23,28.6,51.26,24.97,63.03,86.0,23.65,13.71,20.91,31.07,16.89,112.2,72.72,82.1,48.61,38.92,13.95,83.23,18.33,24.85,18.79,14.54,46.73,59.7,15.91,63.6,122.0,67.46,18.82,28.4
2022-08-30,1287.0,17.23,29.19,51.35,25.42,62.96,87.02,25.26,13.89,20.95,31.16,17.07,113.7,72.03,82.2,49.78,38.33,13.85,83.18,17.99,24.65,18.79,14.65,48.71,59.9,15.72,63.6,122.4,67.9,18.91,28.4
2022-08-31,1293.9,17.3,29.34,52.34,25.28,63.1,85.71,24.98,14.1,20.91,30.58,17.14,114.5,72.72,81.9,49.87,38.28,14.0,83.18,18.03,24.8,18.89,14.7,47.58,61.0,15.72,63.7,121.6,67.46,19.19,27.7
2022-09-05,1286.0,17.19,28.97,53.32,25.01,62.81,85.19,24.84,13.95,21.73,30.41,17.03,115.5,71.24,81.5,49.6,38.01,14.0,83.23,17.8,24.7,18.72,14.7,46.78,61.0,15.43,64.0,120.0,69.24,18.88,27.55
2022-09-06,1290.0,17.3,29.37,52.87,25.28,62.52,85.27,24.55,14.1,21.41,29.92,17.07,115.0,71.64,82.1,49.69,37.65,14.3,83.49,17.84,24.7,18.74,14.7,46.84,61.1,15.47,63.3,119.7,69.51,18.95,28.05
2022-09-07,1265.0,17.05,27.72,50.64,24.48,61.21,81.97,24.46,13.79,20.91,29.17,16.6,112.0,69.48,83.8,48.61,36.29,14.0,83.23,16.94,24.35,18.21,14.33,45.31,59.5,15.4,62.5,113.9,67.63,18.28,27.65
2022-09-08,1264.1,16.84,26.92,50.1,24.03,61.43,81.83,23.7,13.47,21.0,29.34,16.45,115.0,70.26,85.0,48.79,36.1,13.7,84.86,16.56,23.9,18.14,14.12,44.18,59.6,14.84,62.9,115.0,67.63,18.04,27.4
2022-09-09,1275.0,16.84,27.14,50.64,24.03,61.43,83.44,24.03,13.63,21.64,29.34,16.38,116.1,70.75,84.7,48.33,36.47,14.05,85.79,16.67,23.75,18.26,14.17,44.63,59.9,14.84,64.4,118.0,67.81,18.4,27.5
2022-09-12,1276.8,16.66,27.06,50.64,24.21,61.65,83.22,23.7,13.55,21.64,29.59,16.31,115.0,72.72,83.9,48.43,36.51,14.1,86.32,16.41,23.1,18.18,14.15,44.8,61.4,14.68,64.0,117.5,67.28,18.37,28.75
2022-09-13,1272.0,16.7,26.99,50.55,24.61,61.65,83.58,23.75,13.68,21.55,29.59,16.27,114.0,72.82,83.5,46.8,36.38,14.15,84.55,16.26,23.05,18.09,14.1,44.52,60.7,14.68,64.1,117.4,67.63,18.4,28.35
2022-09-14,1259.0,16.49,26.77,50.46,24.16,61.21,82.34,23.7,13.31,21.55,29.5,16.16,112.0,72.42,83.5,45.99,35.74,14.15,81.46,16.49,23.05,17.84,13.94,44.35,60.0,14.55,63.4,116.2,66.12,18.28,28.5
2022-09-15,1262.2,16.52,26.22,50.64,24.07,60.99,81.83,24.17,13.29,21.45,29.34,15.98,112.0,72.62,85.3,46.35,35.65,14.45,82.03,16.26,23.05,17.75,13.94,44.86,60.5,14.46,63.9,116.0,66.56,18.28,28.85
2022-09-16,1237.0,16.24,26.04,50.1,23.45,60.12,81.24,23.32,13.21,20.91,28.02,15.73,112.8,70.75,86.4,48.33,35.51,14.25,82.03,15.89,22.45,17.46,13.81,45.31,59.6,14.3,62.5,115.7,67.9,18.43,29.85
